시군구,,,,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
강원도,양양군,양양읍,월리,449-1,449,1,명지푸르미,31.5408,202203,3,5500,8,2002,남대천로 99-14,,중개거래,강원 양양군
강원도,양양군,양양읍,월리,449-1,449,1,명지푸르미,59.449,202203,7,9700,10,2002,남대천로 99-14,,직거래,-
강원도,양양군,양양읍,월리,449-1,449,1,명지푸르미,31.5408,202203,11,5500,3,2002,남대천로 99-14,,중개거래,강원 양양군
강원도,양양군,양양읍,월리,449-1,449,1,명지푸르미,31.5408,202203,11,5500,3,2002,남대천로 99-14,,중개거래,강원 양양군
강원도,양양군,현남면,광진리,141,141,0,대목바다마을,38.88,202203,7,6900,2,1998,동해대로 611-7,,중개거래,강원 양양군
강원도,양양군,현남면,광진리,141,141,0,대목바다마을,38.88,202203,7,9700,8,1998,동해대로 611-7,,중개거래,강원 양양군
강원도,양양군,현북면,기사문리,145,145,0,TM힐,30.2226,202203,15,9000,3,2003,동해대로 1269-17,,중개거래,강원 속초시
강원도,영월군,영월읍,덕포리,505-11,505,11,금용,59.82,202203,7,6000,9,1994,중리1길 108,,직거래,-
강원도,영월군,영월읍,덕포리,505-11,505,11,금용,59.82,202203,16,6750,10,1994,중리1길 108,,직거래,-
강원도,영월군,영월읍,덕포리,797,797,0,영월덕포리코아루웰라움,59.9432,202203,3,16500,13,2018,덕포하리2길 70,,직거래,-
강원도,영월군,영월읍,덕포리,797,797,0,영월덕포리코아루웰라움,69.7641,202203,5,18500,10,2018,덕포하리2길 70,,중개거래,강원 영월군
강원도,영월군,영월읍,영흥리,1049-16,1049,16,삼호,48.81,202203,11,2830,3,1990,단종로 88,,직거래,-
강원도,영월군,영월읍,하송리,53,53,0,레스트힐,59.73,202203,11,17400,5,2013,제방안길 64,,중개거래,강원 영월군
